Correcteur: Kp= 0.25 Ki= 0.00 Kd= 0.00
Consigne [pt] : 1000.00
date;Consigne;Mesure;Commande
[ms];[pt];[pt];[pt]
0; 0; 0; 0
1; 1000; 0; 250
4; 1000; 0; 250
7; 1000; 7; 248
10; 1000; 27; 243
14; 1000; 57; 235
17; 1000; 95; 226
20; 1000; 140; 215
23; 1000; 191; 202
26; 1000; 246; 188
29; 1000; 317; 170
32; 1000; 379; 155
35; 1000; 444; 139
38; 1000; 510; 122
41; 1000; 577; 105
44; 1000; 646; 88
47; 1000; 716; 71
50; 1000; 800; 50
53; 1000; 870; 32
56; 1000; 913; 21
59; 1000; 984; 4
62; 1000; 1054; -13
65; 1000; 1124; -31
68; 1000; 1206; -51
71; 1000; 1273; -68
74; 1000; 1336; -84
77; 1000; 1396; -99
80; 1000; 1452; -113
83; 1000; 1500; -125
86; 1000; 1541; -135
89; 1000; 1581; -145
92; 1000; 1606; -151
95; 1000; 1623; -155
99; 1000; 1632; -158
102; 1000; 1634; -158
105; 1000; 1629; -157
108; 1000; 1616; -154
111; 1000; 1598; -149
114; 1000; 1575; -143
117; 1000; 1548; -137
120; 1000; 1517; -129
123; 1000; 1482; -120
125; 1000; 1445; -111
129; 1000; 1397; -99
132; 1000; 1355; -88
135; 1000; 1311; -77
138; 1000; 1266; -66
142; 1000; 1220; -55
145; 1000; 1173; -43
148; 1000; 1117; -29
151; 1000; 1069; -17
154; 1000; 1021; -5
157; 1000; 973; 6
160; 1000; 926; 18
163; 1000; 878; 30
166; 1000; 832; 42
169; 1000; 778; 55
172; 1000; 734; 66
175; 1000; 694; 76
178; 1000; 656; 86
181; 1000; 623; 94
184; 1000; 604; 99
187; 1000; 577; 105
190; 1000; 551; 112
193; 1000; 535; 116
196; 1000; 524; 119
199; 1000; 517; 120
202; 1000; 516; 121
205; 1000; 520; 120
208; 1000; 528; 118
211; 1000; 542; 114
214; 1000; 559; 110
217; 1000; 578; 105
220; 1000; 601; 99
223; 1000; 625; 93
227; 1000; 651; 87
230; 1000; 679; 80
233; 1000; 708; 73
236; 1000; 746; 63
239; 1000; 779; 55
242; 1000; 813; 46
245; 1000; 847; 38
248; 1000; 882; 29
251; 1000; 918; 20
254; 1000; 953; 11
257; 1000; 989; 2
260; 1000; 1031; -7
263; 1000; 1066; -16
266; 1000; 1100; -25
270; 1000; 1134; -33
273; 1000; 1167; -41
276; 1000; 1199; -49
279; 1000; 1229; -57
282; 1000; 1262; -65
285; 1000; 1288; -72
288; 1000; 1310; -77
291; 1000; 1330; -82
294; 1000; 1346; -86
297; 1000; 1361; -90
300; 1000; 1374; -93
303; 1000; 1381; -95
306; 1000; 1385; -96
309; 1000; 1385; -96
312; 1000; 1383; -95
315; 1000; 1377; -94
318; 1000; 1369; -92
321; 1000; 1357; -89
324; 1000; 1344; -86
327; 1000; 1327; -81
330; 1000; 1309; -77
333; 1000; 1285; -71
336; 1000; 1263; -65
339; 1000; 1240; -60
342; 1000; 1215; -53
345; 1000; 1189; -47
348; 1000; 1163; -40
351; 1000; 1131; -32
355; 1000; 1103; -25
358; 1000; 1075; -18
361; 1000; 1047; -11
364; 1000; 1019; -4
367; 1000; 991; 2
370; 1000; 963; 9
373; 1000; 936; 16
376; 1000; 903; 24
379; 1000; 877; 30
382; 1000; 851; 37
385; 1000; 826; 43
388; 1000; 803; 49
391; 1000; 781; 54
394; 1000; 760; 60
398; 1000; 742; 64
401; 1000; 726; 68
404; 1000; 710; 72
407; 1000; 700; 75
410; 1000; 692; 77
413; 1000; 687; 78
416; 1000; 685; 78
419; 1000; 685; 78
422; 1000; 687; 78
425; 1000; 692; 77
428; 1000; 701; 74
431; 1000; 710; 72
434; 1000; 722; 69
437; 1000; 735; 66
440; 1000; 744; 64
443; 1000; 759; 60
446; 1000; 780; 55
449; 1000; 798; 50
452; 1000; 818; 45
455; 1000; 838; 40
458; 1000; 859; 35
461; 1000; 881; 29
464; 1000; 903; 24
467; 1000; 925; 18
470; 1000; 952; 12
473; 1000; 974; 6
476; 1000; 997; 0
479; 1000; 1019; -4
483; 1000; 1040; -10
486; 1000; 1062; -15
489; 1000; 1083; -20
492; 1000; 1104; -26
494; 1000; 1124; -31
498; 1000; 1147; -36
501; 1000; 1165; -41
504; 1000; 1182; -45
507; 1000; 1197; -49
510; 1000; 1211; -52
513; 1000; 1223; -55
516; 1000; 1236; -59
519; 1000; 1244; -61
522; 1000; 1250; -62
526; 1000; 1255; -63
529; 1000; 1257; -64
532; 1000; 1257; -64
535; 1000; 1255; -63
538; 1000; 1252; -63
541; 1000; 1247; -61
544; 1000; 1241; -60
547; 1000; 1234; -58
550; 1000; 1226; -56
553; 1000; 1214; -53
556; 1000; 1203; -50
559; 1000; 1191; -47
562; 1000; 1178; -44
565; 1000; 1164; -41
568; 1000; 1152; -38
571; 1000; 1137; -34
574; 1000; 1122; -30
577; 1000; 1106; -26
580; 1000; 1090; -22
583; 1000; 1074; -18
586; 1000; 1055; -13
589; 1000; 1038; -9
592; 1000; 1022; -5
595; 1000; 1006; -1
598; 1000; 990; 2
601; 1000; 974; 6
604; 1000; 958; 10
607; 1000; 943; 14
611; 1000; 925; 18
614; 1000; 910; 22
617; 1000; 896; 26
620; 1000; 882; 29
623; 1000; 869; 32
626; 1000; 857; 35
629; 1000; 846; 38
632; 1000; 836; 41
635; 1000; 826; 43
638; 1000; 819; 45
