Temps	Consigne	Position	Commande	Courant	Vit. Axe	Moteur
ms	degrés	degrés	Volts	mA	rad/s	rad/s
    0 	 44.6 	 44.6 	  0.2 	   50 	 0.00 	 -141
    5 	 83.6 	 44.6 	 21.1 	 4650    0.32	  -82
   24 	 83.6 	 45.6 	 21.1 	 3800 	 0.42 	  -33
   44 	 83.6 	 47.9 	 21.1 	 2650 	 0.73 	   -3
   63 	 83.6 	 50.4 	 21.1 	 2100 	 1.02 	   12
   83 	 83.6 	 53.2 	 21.1 	 1700 	 1.44 	   24
  108 	 83.6 	 56.3 	 21.1 	 1500 	 1.57 	   29
  125 	 83.6 	 59.2 	 21.1 	 1400 	 1.84 	   32
  145 	 83.6 	 61.9 	 21.1 	 1350 	 1.95 	   34
  163 	 83.6 	 64.8 	 21.1 	 1300 	 2.05 	   35
  183 	 83.6 	 67.7 	 21.1 	 1250 	 2.17 	   38
  203 	 83.6 	 70.5 	 21.1 	 1250 	 2.19 	   37
  222 	 83.6 	 73.4 	 21.1 	 1250 	 2.15 	   37
  242 	 83.6 	 76.2 	 21.1 	 1250 	 2.30 	   38
  262 	 83.6 	 78.5 	 21.1 	 1250 	 2.24 	   38
  280 	 83.6 	 81.3 	 21.1 	  900 	 1.95 	   33
  300 	 83.6 	 83.8 	 -2.2  	-3650 	 1.44 	  -45
  320 	 83.6 	 85.0  	-13.6  	-4950 	 1.03 	 -143
  337 	 83.6 	 84.7  	-10.1  	-2250 	 0.74 	 -192
  357 	 83.6 	 83.8 	 -2.2 	  350 	 0.61 	 -185
  377 	 83.6 	 83.2 	  4.0 	 1650 	 0.53 	 -151
  397 	 83.6 	 83.1 	  4.8 	 1250 	 0.46 	 -130
  417 	 83.6 	 83.3 	  3.0 	  450 	 0.38 	 -127
  437 	 83.6 	 83.5 	  1.3 	  100 	 0.32 	 -131
  454 	 83.6 	 83.6 	  0.4 	    0 	 0.30 	 -137
  474 	 83.6 	 83.7 	 -0.4 	   50 	 0.23 	 -141
  494 	 83.6 	 83.8 	 -2.2 	    0 	 0.15 	 -141
  514 	 83.6 	 83.8 	 -2.2 	    0 	 0.13 	 -141
  534 	 83.6 	 83.7 	 -0.4 	   50 	 0.10 	 -141
  554 	 83.6 	 83.7 	 -0.4 	   50 	 0.08 	 -141
  573 	 83.6 	 83.7 	 -0.4 	    0 	 0.05 	 -141
  591 	 83.6 	 83.7 	 -0.4 	  -50 	 0.08 	 -141
  611 	 83.6 	 83.6 	  0.4 	   50 	 0.03 	 -141
  631 	 83.6 	 83.8 	 -1.3 	   50 	 0.04 	 -141
  651 	 83.6 	 83.7 	 -0.4 	   50 	 0.03 	 -141
  671 	 83.6 	 83.7 	 -0.4 	   50 	 0.02 	 -140
  690 	 83.6 	 83.7 	 -0.4 	   50 	 0.02 	 -141
  710 	 83.6 	 83.7 	 -0.4 	    0 	 0.02 	 -141
  730 	 83.6 	 83.7 	 -0.4 	   50 	 0.01 	 -141
  750 	 83.6 	 83.7 	 -0.4 	   50 	 0.01 	 -141
  770 	 83.6 	 83.7 	 -0.4 	   50 	 0.00 	 -141
  790 	 83.6 	 83.7 	 -0.4 	  100 	 0.00 	 -141

