 Correcteur: Kp= 0.10 Ki= 0.00 Kd=  0.00
 Consigne [pt] : 1000.00
date;Consigne;Mesure;Commande
[ms];[pt];[pt];[pt]
0; 0; 0; 0
1; 1000; 0; 100
4; 1000; 1; 99
7; 1000; 4; 99
10; 1000; 13; 98
13; 1000; 22; 97
16; 1000; 35; 96
19; 1000; 51; 94
22; 1000; 70; 93
25; 1000; 93; 90
28; 1000; 122; 87
31; 1000; 149; 85
35; 1000; 177; 82
38; 1000; 207; 79
41; 1000; 239; 76
44; 1000; 273; 72
47; 1000; 309; 69
50; 1000; 354; 64
53; 1000; 393; 60
56; 1000; 432; 56
59; 1000; 473; 52
62; 1000; 513; 48
65; 1000; 555; 44
68; 1000; 596; 40
71; 1000; 646; 35
74; 1000; 689; 31
78; 1000; 731; 26
81; 1000; 774; 22
84; 1000; 816; 18
87; 1000; 859; 14
90; 1000; 901; 9
93; 1000; 943; 5
96; 1000; 993; 0
99; 1000; 1035; -3
102; 1000; 1076; -7
105; 1000; 1117; -11
108; 1000; 1158; -15
111; 1000; 1198; -19
114; 1000; 1238; -23
117; 1000; 1285; -28
121; 1000; 1323; -32
124; 1000; 1360; -36
127; 1000; 1396; -39
130; 1000; 1430; -43
133; 1000; 1463; -46
136; 1000; 1494; -49
139; 1000; 1529; -52
142; 1000; 1557; -55
145; 1000; 1582; -58
148; 1000; 1606; -60
151; 1000; 1627; -62
154; 1000; 1646; -64
157; 1000; 1662; -66
160; 1000; 1679; -67
163; 1000; 1687; -68
166; 1000; 1697; -69
169; 1000; 1704; -70
172; 1000; 1711; -71
175; 1000; 1713; -71
178; 1000; 1714; -71
181; 1000; 1713; -71
184; 1000; 1710; -71
187; 1000; 1704; -70
190; 1000; 1697; -69
193; 1000; 1688; -68
196; 1000; 1678; -67
199; 1000; 1667; -66
202; 1000; 1654; -65
206; 1000; 1639; -63
209; 1000; 1620; -62
212; 1000; 1603; -60
215; 1000; 1585; -58
218; 1000; 1566; -56
221; 1000; 1546; -54
224; 1000; 1525; -52
227; 1000; 1499; -49
230; 1000; 1476; -47
233; 1000; 1453; -45
236; 1000; 1429; -42
239; 1000; 1404; -40
242; 1000; 1379; -37
245; 1000; 1348; -34
249; 1000; 1323; -32
252; 1000; 1296; -29
255; 1000; 1270; -27
258; 1000; 1243; -24
261; 1000; 1216; -21
263; 1000; 1190; -19
267; 1000; 1158; -15
270; 1000; 1131; -13
273; 1000; 1104; -10
276; 1000; 1078; -7
279; 1000; 1051; -5
282; 1000; 1025; -2
285; 1000; 993; 0
288; 1000; 967; 3
291; 1000; 951; 4
294; 1000; 925; 7
297; 1000; 900; 10
300; 1000; 875; 12
303; 1000; 850; 15
306; 1000; 820; 18
309; 1000; 796; 20
312; 1000; 773; 22
315; 1000; 750; 25
318; 1000; 727; 27
321; 1000; 706; 29
324; 1000; 685; 31
327; 1000; 666; 33
330; 1000; 647; 35
334; 1000; 626; 37
337; 1000; 609; 39
340; 1000; 594; 40
343; 1000; 580; 42
346; 1000; 567; 43
349; 1000; 555; 44
352; 1000; 545; 45
355; 1000; 536; 46
358; 1000; 527; 47
361; 1000; 521; 47
364; 1000; 516; 48
367; 1000; 513; 48
370; 1000; 510; 49
373; 1000; 510; 49
377; 1000; 510; 49
380; 1000; 513; 48
383; 1000; 515; 48
386; 1000; 519; 48
389; 1000; 524; 47
392; 1000; 530; 47
395; 1000; 536; 46
398; 1000; 544; 45
401; 1000; 552; 44
404; 1000; 563; 43
407; 1000; 573; 42
410; 1000; 583; 41
413; 1000; 595; 40
416; 1000; 606; 39
419; 1000; 614; 38
422; 1000; 628; 37
425; 1000; 642; 35
428; 1000; 655; 34
431; 1000; 669; 33
434; 1000; 683; 31
437; 1000; 698; 30
440; 1000; 713; 28
443; 1000; 727; 27
446; 1000; 746; 25
449; 1000; 761; 23
452; 1000; 776; 22
455; 1000; 792; 20
458; 1000; 808; 19
462; 1000; 823; 17
465; 1000; 839; 16
468; 1000; 855; 14
471; 1000; 873; 12
474; 1000; 889; 11
477; 1000; 905; 9
480; 1000; 920; 8
483; 1000; 935; 6
486; 1000; 951; 4
489; 1000; 966; 3
492; 1000; 981; 1
495; 1000; 998; 0
498; 1000; 1013; -1
501; 1000; 1027; -2
505; 1000; 1041; -4
508; 1000; 1055; -5
511; 1000; 1068; -6
513; 1000; 1082; -8
517; 1000; 1097; -9
520; 1000; 1110; -11
523; 1000; 1123; -12
526; 1000; 1135; -13
529; 1000; 1147; -14
532; 1000; 1158; -15
535; 1000; 1172; -17
538; 1000; 1182; -18
541; 1000; 1193; -19
544; 1000; 1202; -20
547; 1000; 1208; -20
550; 1000; 1219; -21
553; 1000; 1227; -22
556; 1000; 1235; -23
559; 1000; 1242; -24
562; 1000; 1249; -24
565; 1000; 1255; -25
568; 1000; 1261; -26
571; 1000; 1265; -26
574; 1000; 1269; -26
577; 1000; 1272; -27
580; 1000; 1275; -27
583; 1000; 1277; -27
586; 1000; 1278; -27
590; 1000; 1279; -27
593; 1000; 1279; -27
596; 1000; 1278; -27
599; 1000; 1277; -27
602; 1000; 1276; -27
605; 1000; 1274; -27
608; 1000; 1272; -27
611; 1000; 1270; -27
614; 1000; 1267; -26
617; 1000; 1264; -26
620; 1000; 1260; -26
623; 1000; 1256; -25
626; 1000; 1253; -25
629; 1000; 1248; -24
633; 1000; 1244; -24
635; 1000; 1240; -24
639; 1000; 1234; -23
