 Correcteur: Kp= 0.25 Ki= 0.00 Kd=  0.02
 Consigne [pt] : 1000.00
date;Consigne;Mesure;Commande
[ms];[pt];[pt];[pt]
0; 0; 0; 0
1; 1000; 0; 250
4; 1000; 0; 250
7; 1000; 7; 201
10; 1000; 26; 116
13; 1000; 52; 63
16; 1000; 82; 29
19; 1000; 112; 22
22; 1000; 148; -26
25; 1000; 179; -1
28; 1000; 208; 4
31; 1000; 237; -2
34; 1000; 266; -9
37; 1000; 295; -17
40; 1000; 324; -24
43; 1000; 352; -24
46; 1000; 374; 9
49; 1000; 400; -23
52; 1000; 427; -36
55; 1000; 453; -36
58; 1000; 478; -36
61; 1000; 502; -35
64; 1000; 525; -34
67; 1000; 546; -26
70; 1000; 566; -24
73; 1000; 586; -29
76; 1000; 608; -48
79; 1000; 626; -26
82; 1000; 643; -24
85; 1000; 658; -14
89; 1000; 673; -18
92; 1000; 688; -21
95; 1000; 702; -18
98; 1000; 715; -15
101; 1000; 728; -18
104; 1000; 740; -14
107; 1000; 752; -17
110; 1000; 766; -34
113; 1000; 777; -17
116; 1000; 787; -13
119; 1000; 796; -8
122; 1000; 805; -11
125; 1000; 814; -13
128; 1000; 822; -8
132; 1000; 830; -10
135; 1000; 837; -5
138; 1000; 846; -21
141; 1000; 853; -9
144; 1000; 860; -11
147; 1000; 866; -6
150; 1000; 872; -7
153; 1000; 878; -9
156; 1000; 884; -10
159; 1000; 889; -5
162; 1000; 894; -6
165; 1000; 900; -14
168; 1000; 904; -2
171; 1000; 909; -10
174; 1000; 911; 8
177; 1000; 915; -5
180; 1000; 918; 0
183; 1000; 922; -7
186; 1000; 925; -1
189; 1000; 928; -1
192; 1000; 931; -2
195; 1000; 934; -3
198; 1000; 936; 2
201; 1000; 938; 2
204; 1000; 940; 1
207; 1000; 942; 1
210; 1000; 944; 0
213; 1000; 946; 0
217; 1000; 947; 6
220; 1000; 948; 6
223; 1000; 949; 6
226; 1000; 950; 5
229; 1000; 951; 5
232; 1000; 951; 12
235; 1000; 952; 5
238; 1000; 952; 12
241; 1000; 953; 5
244; 1000; 953; 11
247; 1000; 953; 11
250; 1000; 953; 11
253; 1000; 954; 4
256; 1000; 954; 11
260; 1000; 954; 11
263; 1000; 954; 11
266; 1000; 954; 11
269; 1000; 954; 11
272; 1000; 956; -2
275; 1000; 959; -9
278; 1000; 962; -10
281; 1000; 964; -4
284; 1000; 967; -11
287; 1000; 969; -5
289; 1000; 971; -6
293; 1000; 973; -6
296; 1000; 974; 0
299; 1000; 975; 0
302; 1000; 976; 0
305; 1000; 977; 0
308; 1000; 978; -1
311; 1000; 978; 5
314; 1000; 979; -1
317; 1000; 979; 5
320; 1000; 979; 5
323; 1000; 979; 5
326; 1000; 979; 5
329; 1000; 979; 5
332; 1000; 979; 5
335; 1000; 979; 5
338; 1000; 979; 5
341; 1000; 979; 5
345; 1000; 979; 5
348; 1000; 979; 5
351; 1000; 979; 5
354; 1000; 979; 5
357; 1000; 979; 5
360; 1000; 979; 5
363; 1000; 979; 5
366; 1000; 979; 5
369; 1000; 979; 5
372; 1000; 979; 5
375; 1000; 979; 5
378; 1000; 979; 5
380; 1000; 979; 5
384; 1000; 979; 5
388; 1000; 979; 5
391; 1000; 979; 5
394; 1000; 979; 5
397; 1000; 979; 5
400; 1000; 979; 5
403; 1000; 979; 5
406; 1000; 979; 5
409; 1000; 979; 5
412; 1000; 979; 5
415; 1000; 979; 5
418; 1000; 979; 5
421; 1000; 979; 5
424; 1000; 979; 5
427; 1000; 979; 5
430; 1000; 979; 5
433; 1000; 979; 5
436; 1000; 979; 5
439; 1000; 979; 5
442; 1000; 979; 5
444; 1000; 979; 5
448; 1000; 979; 5
451; 1000; 979; 5
454; 1000; 979; 5
457; 1000; 979; 5
460; 1000; 979; 5
463; 1000; 979; 5
466; 1000; 979; 5
469; 1000; 979; 5
473; 1000; 979; 5
476; 1000; 979; 5
479; 1000; 979; 5
482; 1000; 979; 5
485; 1000; 979; 5
488; 1000; 979; 5
491; 1000; 979; 5
494; 1000; 979; 5
497; 1000; 979; 5
500; 1000; 979; 5
