Correcteur: Kp= 0.50 Ki= 0.00 Kd= 0.00
Consigne [pt] : 1000.00
date;Consigne;Mesure;Commande
[ms];[pt];[pt];[pt]
0; 0; 0; 0
1; 1000; 0; 255
4; 1000; 1; 255
7; 1000; 14; 255
11; 1000; 40; 255
14; 1000; 77; 255
17; 1000; 132; 255
20; 1000; 188; 255
23; 1000; 249; 255
26; 1000; 316; 255
29; 1000; 388; 255
32; 1000; 462; 255
35; 1000; 540; 230
38; 1000; 635; 182
41; 1000; 716; 142
44; 1000; 798; 101
47; 1000; 882; 59
50; 1000; 965; 17
53; 1000; 1016; -8
56; 1000; 1114; -57
59; 1000; 1196; -98
62; 1000; 1275; -137
65; 1000; 1345; -172
68; 1000; 1405; -202
71; 1000; 1451; -225
74; 1000; 1483; -241
77; 1000; 1500; -250
80; 1000; 1497; -248
83; 1000; 1480; -240
86; 1000; 1452; -226
89; 1000; 1416; -208
92; 1000; 1373; -186
96; 1000; 1316; -158
99; 1000; 1264; -132
102; 1000; 1209; -104
105; 1000; 1153; -76
108; 1000; 1094; -47
111; 1000; 1036; -18
114; 1000; 977; 11
117; 1000; 919; 40
120; 1000; 861; 69
123; 1000; 796; 102
126; 1000; 745; 127
129; 1000; 699; 150
132; 1000; 662; 169
135; 1000; 633; 183
139; 1000; 613; 193
142; 1000; 604; 198
145; 1000; 605; 197
148; 1000; 616; 192
151; 1000; 634; 183
154; 1000; 660; 170
157; 1000; 691; 154
160; 1000; 726; 137
163; 1000; 766; 117
166; 1000; 808; 96
169; 1000; 853; 73
172; 1000; 908; 46
175; 1000; 955; 22
178; 1000; 1002; -1
181; 1000; 1032; -16
184; 1000; 1079; -39
187; 1000; 1125; -62
190; 1000; 1178; -89
193; 1000; 1218; -109
196; 1000; 1255; -127
199; 1000; 1283; -141
202; 1000; 1303; -151
205; 1000; 1316; -158
208; 1000; 1322; -161
211; 1000; 1319; -159
214; 1000; 1310; -155
217; 1000; 1296; -148
220; 1000; 1276; -138
224; 1000; 1252; -126
227; 1000; 1219; -109
230; 1000; 1187; -93
233; 1000; 1153; -76
236; 1000; 1118; -59
239; 1000; 1081; -40
242; 1000; 1044; -22
245; 1000; 1007; -3
248; 1000; 961; 19
251; 1000; 924; 38
254; 1000; 887; 56
257; 1000; 852; 74
260; 1000; 819; 90
263; 1000; 790; 105
267; 1000; 764; 118
270; 1000; 740; 130
273; 1000; 727; 136
276; 1000; 719; 140
279; 1000; 717; 141
282; 1000; 721; 139
285; 1000; 730; 135
288; 1000; 743; 128
291; 1000; 765; 117
294; 1000; 787; 106
297; 1000; 812; 94
300; 1000; 840; 80
303; 1000; 869; 65
306; 1000; 900; 50
309; 1000; 920; 40
312; 1000; 959; 20
315; 1000; 991; 4
318; 1000; 1024; -12
321; 1000; 1056; -28
324; 1000; 1088; -44
327; 1000; 1118; -59
330; 1000; 1147; -73
333; 1000; 1179; -89
336; 1000; 1201; -100
339; 1000; 1221; -110
342; 1000; 1235; -117
345; 1000; 1245; -122
348; 1000; 1250; -125
352; 1000; 1250; -125
355; 1000; 1244; -122
358; 1000; 1234; -117
361; 1000; 1220; -110
364; 1000; 1203; -101
367; 1000; 1182; -91
370; 1000; 1155; -77
373; 1000; 1130; -65
376; 1000; 1103; -51
379; 1000; 1075; -37
382; 1000; 1047; -23
385; 1000; 1018; -9
388; 1000; 989; 5
391; 1000; 960; 20
395; 1000; 925; 37
398; 1000; 897; 51
401; 1000; 871; 64
404; 1000; 846; 77
407; 1000; 824; 88
410; 1000; 805; 97
413; 1000; 789; 105
416; 1000; 777; 111
419; 1000; 769; 115
422; 1000; 767; 116
425; 1000; 769; 115
428; 1000; 776; 112
431; 1000; 786; 107
434; 1000; 800; 100
437; 1000; 813; 93
440; 1000; 832; 84
443; 1000; 853; 73
446; 1000; 877; 61
449; 1000; 902; 49
452; 1000; 927; 36
455; 1000; 954; 23
458; 1000; 986; 7
461; 1000; 1013; -6
464; 1000; 1039; -19
467; 1000; 1066; -33
470; 1000; 1091; -45
473; 1000; 1116; -58
476; 1000; 1139; -69
480; 1000; 1164; -82
483; 1000; 1182; -91
486; 1000; 1196; -98
489; 1000; 1207; -103
492; 1000; 1213; -106
495; 1000; 1216; -108
498; 1000; 1214; -107
501; 1000; 1208; -104
504; 1000; 1199; -99
507; 1000; 1187; -93
510; 1000; 1172; -86
513; 1000; 1155; -77
516; 1000; 1131; -65
519; 1000; 1110; -55
523; 1000; 1088; -44
526; 1000; 1066; -33
529; 1000; 1043; -21
532; 1000; 1020; -10
535; 1000; 997; 1
538; 1000; 969; 15
541; 1000; 946; 27
544; 1000; 923; 38
547; 1000; 901; 49
550; 1000; 881; 59
553; 1000; 862; 69
556; 1000; 846; 77
559; 1000; 833; 83
562; 1000; 820; 90
565; 1000; 816; 92
568; 1000; 811; 94
571; 1000; 809; 95
574; 1000; 810; 95
577; 1000; 815; 92
580; 1000; 824; 88
583; 1000; 835; 82
586; 1000; 848; 76
589; 1000; 863; 68
592; 1000; 879; 60
595; 1000; 898; 51
598; 1000; 916; 42
601; 1000; 936; 32
604; 1000; 959; 20
608; 1000; 980; 10
611; 1000; 1000; 0
614; 1000; 1020; -10
617; 1000; 1040; -20
620; 1000; 1059; -29
623; 1000; 1078; -39
626; 1000; 1096; -48
629; 1000; 1116; -58
632; 1000; 1130; -65
635; 1000; 1143; -71
638; 1000; 1154; -77
641; 1000; 1162; -81
