FICHIER :;p:\Math Sup\MPSI1\SII\TP_SLCI_2019\Maxpid_slci\Mesures 5.dyn;;;;;;
Date :;14/05/2019;;;;;;
Heure :;15:50:16;;;;;;
;;;;;;;
SOLLICITATION :;;;;;;;
MAXPID : Echelon de position de  60.0° (2587 pts), avec KP = 100, KI = 0 et KD = 0, Plan Vertical et 2 masses (1300g).;;;;;;;
;;;;;;;
MESURES :;;;;;;;
Index;Tps;CONSIGNE;POSITION;COMMANDE;COURANT;VIT. AXE;VIT. MOTEUR
;ms;dégrés;degrés;Volts;mA;rad/s;rad/sec
0;0;0;0,1;0,3;32;0;0
1;10;0;0,1;-0,3;32;0;0
2;29;60;0;21,1;3843;0,81;70
3;53;60;0,7;21,1;4627;1,4;185
4;73;60;4,4;21,1;3168;1,93;257
5;93;60;8,9;21,1;2106;2,33;299
6;113;60;13,7;21,1;1520;2,64;323
7;133;60;18,3;21,1;1203;2,85;336
8;153;60;22,8;21,1;1034;3;341
9;173;60;27,2;21,1;945;3,13;347
10;193;60;31,4;21,1;865;3,2;350
11;212;60;35,4;21,1;816;3,23;350
12;232;60;39,5;21,1;796;3,21;350
13;252;60;43,4;21,1;796;3,18;350
14;272;60;47;21,1;826;3,16;350
15;292;60;50,5;21,1;816;3,1;350
16;312;60;54;18,9;429;2,93;343
17;332;60;57,4;8,4;-1505;2,56;282
18;352;60;60,1;-0,1;-3202;2,01;157
19;371;60;61,4;-4,5;-2478;1,61;48
20;391;60;61,4;-4,5;-1267;1,24;-9
21;411;60;61,3;-4;-543;0,96;-27
22;431;60;61;-3;-136;0,73;-27
23;451;60;60,7;-2,2;-17;0,59;-23
24;471;60;60,4;-1,3;52;0,44;-16
25;491;60;60,3;-0,9;62;0,36;-9
26;511;60;60,1;-0,4;62;0,29;-3
27;530;60;60,1;-0,4;32;0,24;0
28;550;60;60,1;-0,4;22;0,19;0
29;570;60;60,1;-0,4;22;0,17;0
30;590;60;60,1;-0,4;22;0,11;0
31;610;60;60,2;-0,7;22;0,1;0
32;630;60;60,1;-0,4;22;0,1;0
33;650;60;60,1;-0,4;22;0,05;0
34;670;60;60,2;-0,7;22;0,05;0
35;689;60;60,1;-0,4;12;0,04;0
36;709;60;60,1;-0,4;22;0,03;0
37;729;60;60,1;-0,4;22;0,03;0
38;749;60;60,1;-0,4;22;0,04;0
39;769;60;60,1;-0,4;22;0,05;0
40;789;60;60,2;-0,7;22;-0,01;0
41;809;60;60,3;-0,9;12;0,03;0
42;829;60;60,1;-0,4;22;-0,01;0
43;849;60;60,2;-0,7;22;0,02;0
44;868;60;60,1;-0,4;22;-0,01;0
45;888;60;60,2;-0,7;22;0;1
46;908;60;60,1;-0,4;22;0,02;0
47;928;60;60,1;-0,4;22;-0,01;1
48;948;60;60,2;-0,7;22;0;0
49;968;60;60,1;-0,4;12;-0,08;0
50;988;60;60,1;-0,4;22;0;1
