FICHIER :;c:\Users\gebel\Documents\maxpid mesure 3.dyn
Date :;07/05/2019
Heure :;16:25:23

SOLLICITATION :
MAXPID : Echelon de position de  30.3° (1350 pts), avec KP = 100, KI = 0 et KD = 0, Plan Vertical et 2 masses (1300g).

MESURES :
Index;Tps;CONSIGNE;POSITION;COMMANDE;VIT. AXE;
;ms;dégrés;degrés;Volts;rad/s;
         0;         0;      -0,3;      -0,3;       0,0;      0,00;
         1;        10;      -0,3;      -0,4;       0,3;     -0,16;
         2;        20;      30,0;      -0,3;      21,1;     -0,08;
         3;        31;      30,0;      -0,4;      21,1;      0,20;
         4;        41;      30,0;      -0,4;      21,1;      0,67;
         5;        51;      30,0;       0,3;      21,1;      1,05;
         6;        61;      30,0;       1,6;      21,1;      1,59;
         7;        71;      30,0;       3,1;      21,1;      1,76;
         8;        81;      30,0;       5,2;      21,1;      2,33;
         9;        91;      30,0;       6,8;      21,1;      2,35;
        10;       101;      30,0;       9,2;      21,1;      2,78;
        11;       111;      30,0;      10,9;      21,1;      2,76;
        12;       121;      30,0;      13,3;      21,1;      3,09;
        13;       131;      30,0;      15,1;      21,1;      3,06;
        14;       141;      30,0;      17,4;      21,1;      3,32;
        15;       151;      30,0;      19,3;      21,1;      3,17;
        16;       161;      30,0;      21,6;      21,1;      3,43;
        17;       171;      30,0;      23,3;      21,1;      3,21;
        18;       181;      30,0;      25,6;      14,2;      3,36;
        19;       191;      30,0;      27,3;       8,9;      3,19;
        20;       201;      30,0;      29,3;       2,2;      2,67;
        21;       211;      30,0;      30,9;      -3,0;      2,37;
        22;       221;      30,0;      31,5;      -4,8;      1,93;
        23;       231;      30,0;      32,0;      -6,6;      1,48;
        24;       241;      30,0;      32,2;      -7,2;      1,10;
        25;       251;      30,0;      32,0;      -6,6;      0,72;
        26;       261;      30,0;      31,7;      -5,6;      0,52;
        27;       271;      30,0;      31,3;      -4,2;      0,21;
        28;       281;      30,0;      31,0;      -3,3;      0,08;
        29;       291;      30,0;      30,5;      -1,6;     -0,07;
        30;       301;      30,0;      30,1;      -0,4;     -0,09;
        31;       311;      30,0;      29,8;       0,7;     -0,18;
        32;       321;      30,0;      29,6;       1,3;     -0,11;
        33;       331;      30,0;      29,3;       2,2;     -0,18;
        34;       341;      30,0;      29,3;       2,2;     -0,16;
        35;       351;      30,0;      29,1;       2,7;     -0,12;
        36;       361;      30,0;      29,1;       3,0;     -0,10;
        37;       371;      30,0;      29,1;       3,0;     -0,08;
        38;       381;      30,0;      29,1;       3,0;     -0,07;
        39;       391;      30,0;      29,1;       3,0;     -0,05;
        40;       401;      30,0;      29,1;       3,0;     -0,04;
        41;       411;      30,0;      29,1;       3,0;     -0,03;
        42;       421;      30,0;      29,1;       3,0;     -0,03;
        43;       431;      30,0;      29,1;       3,0;     -0,02;
        44;       441;      30,0;      29,1;       3,0;     -0,02;
        45;       451;      30,0;      29,1;       3,0;     -0,01;
