date; Consigne; Mesure; Commande
[s];  [pt];  [pt];  [pt]
0.001;390;0;255
0.008;390;0;255
0.016;390;0;255
0.024;390;1;255
0.033;390;3;255
0.041;390;6;255
0.049;390;9;255
0.057;390;12;255
0.065;390;15;255
0.073;390;19;255
0.081;390;22;255
0.089;390;26;255
0.097;390;31;255
0.105;390;35;255
0.113;390;40;255
0.121;390;44;255
0.129;390;48;255
0.137;390;53;255
0.145;390;58;255
0.153;390;63;255
0.161;390;67;255
0.169;390;72;255
0.177;390;77;255
0.185;390;82;255
0.193;390;87;255
0.201;390;92;255
0.209;390;96;255
0.217;390;101;255
0.225;390;106;255
0.233;390;111;255
0.241;390;116;255
0.249;390;120;255
0.257;390;125;255
0.265;390;130;255
0.273;390;135;255
0.281;390;140;255
0.289;390;144;255
0.297;390;150;255
0.305;390;154;255
0.313;390;159;255
0.321;390;164;255
0.329;390;169;255
0.337;390;174;255
0.345;390;178;255
0.353;390;183;255
0.361;390;188;255
0.369;390;193;255
0.377;390;197;255
0.385;390;202;255
0.393;390;207;255
0.401;390;212;255
0.409;390;217;255
0.417;390;221;255
0.425;390;226;255
0.433;390;231;255
0.441;390;236;255
0.449;390;241;255
0.457;390;246;255
0.465;390;250;255
0.473;390;254;255
0.481;390;260;255
0.489;390;264;255
0.497;390;269;255
0.505;390;273;255
0.513;390;278;255
0.521;390;283;255
0.529;390;288;255
0.537;390;293;255
0.545;390;297;255
0.553;390;302;255
0.561;390;307;255
0.569;390;312;255
0.577;390;316;255
0.585;390;321;255
0.593;390;325;255
0.601;390;330;255
0.609;390;335;255
0.617;390;340;255
0.625;390;345;255
0.633;390;348;255
0.641;390;353;255
0.649;390;358;255
0.657;390;363;255
0.665;390;368;220
0.673;390;372;180
0.681;390;376;140
0.689;390;381;90
0.697;390;385;50
0.705;390;389;10
0.713;390;393;-30
0.721;390;397;-70
0.729;390;401;-110
0.737;390;404;-140
0.745;390;407;-170
0.753;390;409;-190
0.761;390;409;-190
0.769;390;410;-200
0.777;390;409;-190
0.785;390;408;-180
0.793;390;407;-170
0.801;390;405;-150
0.809;390;403;-130
0.817;390;401;-110
0.825;390;398;-80
0.833;390;395;-50
0.841;390;392;-20
0.849;390;390;0
0.857;390;386;40
0.865;390;383;70
0.873;390;380;100
0.881;390;378;120
0.889;390;376;140
0.897;390;375;150
0.905;390;374;160
0.913;390;374;160
0.921;390;374;160
0.929;390;374;160
0.937;390;375;150
0.945;390;376;140
0.953;390;378;120
0.961;390;379;110
0.969;390;381;90
0.977;390;382;80
0.985;390;384;60
0.993;390;385;50
1.001;390;387;30
1.009;390;389;10
1.017;390;390;0
1.025;390;392;-20
1.033;390;393;-30
1.041;390;394;-40
1.049;390;395;-50
1.057;390;396;-60
1.065;390;396;-60
1.073;390;397;-70
1.081;390;397;-70
1.089;390;396;-60
1.097;390;396;-60
1.105;390;396;-60
1.113;390;395;-50
