     Temps  Consigne  Position  Commande   Courant  Vit, Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0       0,3       0,0       0,7       100                
         5      10,3       0,0      21,1      4750                
        19      10,3       1,0      21,1      4150                
        32      10,3       2,6      18,4      3000                
        43      10,3       4,9      12,8      1350                
        55      10,3       6,6       8,8       400                
        67      10,3       8,2       5,1      -250                
        78      10,3       9,9       1,1     -1100                
        89      10,3      10,8      -1,0     -1550                
       100      10,3      11,5      -2,7     -1450                
       112      10,3      11,8      -3,4     -1250                
       124      10,3      11,9      -3,7      -900                
       136      10,3      11,8      -3,4      -500                
       147      10,3      11,5      -2,7      -200                
       158      10,3      11,3      -2,1       -50                
       170      10,3      10,9      -1,2       100                
       182      10,3      10,7      -0,8       250                
       193      10,3      10,5      -0,4       350                
       204      10,3      10,2       0,2       350                
       216      10,3      10,1       0,5       300                
       227      10,3      10,0       0,8       250                
       239      10,3       9,9       1,1       200                
       250      10,3       9,9       1,1       250                
       261      10,3       9,9       1,1       250                
       272      10,3       9,8       1,3       250                
       285      10,3       9,8       1,3       250                
       297      10,3       9,8       1,3       250                
       308      10,3       9,9       1,1       250                
       319      10,3       9,8       1,3       250                
       330      10,3       9,8       1,3       250                
       341      10,3       9,8       1,3       250                
       351      10,3       9,8       1,3       250                
       362      10,3       9,8       1,3       250                
       374      10,3       9,8       1,3       250                
       385      10,3       9,8       1,3       250                
       396      10,3       9,8       1,3       250                
       407      10,3       9,8       1,3       250                
       418      10,3       9,8       1,3       250                
       428      10,3       9,8       1,3       250                
       442      10,3       9,8       1,3       250                
       453      10,3       9,8       1,3       250                
       464      10,3       9,9       1,1       200                
       476      10,3       9,8       1,3       250                
       486      10,3       9,8       1,3       200                
       497      10,3       9,8       1,3       250                
